Parameter,Unit,name,carrier,type,tech,var_name
EnergyConversion_SecondaryEnergy_Heat_Slack,GWh,heat-shortage,heat,shortage,shortage,flow_out
EnergyConversion_VarOM_ElectricityHeat_CH4_BpCCGT,Eur,ch4-bpchp,ch4,backpressure,bpchp,cost_varom
EnergyConversion_FuelCosts_ElectricityHeat_CH4_ExCCGT,Eur,ch4-extchp,ch4,extraction,extchp,cost_carrier
EnergyConversion_SecondaryEnergy_Electricity_ElectricityHeat_CH4_ExCCGT,GWh,ch4-extchp,ch4,extraction,extchp,flow_electricity
EnergyConversion_SecondaryEnergy_Heat_ElectricityHeat_CH4_ExCCGT,GWh,ch4-extchp,ch4,extraction,extchp,flow_heat
EnergyConversion_VarOM_ElectricityHeat_CH4_ExCCGT,Eur,ch4-extchp,ch4,extraction,extchp,cost_varom
EnergyConversion_SecondaryEnergy_Heat_Gas_Small,GWh,ch4-boiler,ch4,dispatchable,boiler,flow_out
EnergyConversion_VarOM_Heat_Gas_Small,Eur,ch4-boiler,ch4,dispatchable,boiler,cost_varom
Storage_VarOM_Heat_SmallStorage,Eur,heat-storage,heat,storage,storage,cost_varom
EnergyConversion_SecondaryEnergy_Heat_Gas_Large,GWh,ch4-boiler,ch4,conversion,boiler,flow_out
EnergyConversion_VarOM_Heat_Gas_Large,Eur,ch4-boiler,ch4,conversion,boiler,cost_varom
EnergyConversion_SecondaryEnergy_Heat_Electricity_Large,GWh,electricity-pth,electricity,conversion,pth,flow_out
EnergyConversion_SecondaryEnergy_Heat_ElectricityHeat_Large,GWh,electricity-heatpump,electricity,conversion,heatpump,flow_out
EnergyConversion_VarOM_Heat_Electricity_Large,Eur,electricity-pth,electricity,conversion,pth,cost_varom
EnergyConversion_VarOM_Heat_ElectricityHeat_Large,Eur,electricity-heatpump,electricity,conversion,heatpump,cost_varom
Storage_Input_Heat_LargeStorage,GWh,heat-storage,heat,storage,storage,flow_in
Storage_Losses_Heat_LargeStorage,GWh,heat-storage,heat,storage,storage,loss
Storage_Output_Heat_LargeStorage,GWh,heat-storage,heat,storage,storage,flow_out
Storage_VarOM_Heat_LargeStorage,Eur,heat-storage,heat,storage,storage,cost_varom
